Date,Speaker,Statement,Member
2005-02-02,MR. KOS,"Thank you, Mr. Chairman. Markets in the intermeeting period can perhaps best be described by the words “more of the same.” For example, short-term interest rates continued a slow upward climb, as shown in the top panel of page 1 of your handout. Market participants are pricing in 25 basis point increments of tightening until told otherwise. The release of the minutes on January 4 added a bit of spice but did not change the contours of the outlook. Treasury yields also did more of the same. The short end of the coupon curve rose gently along with deposit rates, while the 10-year yield has remained stuck in its narrow range at just above 4.10 percent. Hence the shape of the curve continued its flattening trend, as shown in the bottom left panel. But that’s not the only part of the curve that was flattening. The bottom right panel graphs the 10- to 30-year spread since December. (If one wanted to be precise, one would call it the 10- to 26-year spread, given that this bond matures in 2031.) While the 10-year yield was little changed, the long bond rallied, pushing the yield down to about 4.60 percent—its lowest level since the summer of 2003. And the 10- to 30-year spread is at its narrowest level since early 2002. The search for yield may be pushing investors out the curve. Demand for duration from pension funds may also be part of the story—part of a more general supply/demand imbalance, given that the GSEs  are issuing very little at the long end and, of course, the Treasury stopped issuing the long bond in 2001. However, before this flattening is attributed to technical factors alone, one should give the yield curve a bit of respect. After all, the signal sent by the inversion in 2000 after the buyback announcements also was written off as technically induced. Maybe this recent flattening really is technically induced, but then again it may not be. Turning to page 2, and continuing the “more of the same” theme, spreads continued to stay tight and volatilities remained low. Swap spreads narrowed slightly along with the flattening of the curve, and MBS  spreads stayed tight, probably helped by the low volatility in fixed income markets. Spreads on riskier assets—high-yield and emerging-market bonds—did widen slightly, as shown in the middle right panel, right after the New Year and contemporaneous with the decline in equity prices and the reversal in the dollar. Nevertheless those spreads still are at levels that are historically on the low side. Finally, implied volatilities continue to stay low across asset markets. The bottom panel graphs representative swaption volatilities, which are near historically low levels. Turning to page 3, short-term interest rates in the euro area follow today’s general theme and have moved very little. Expectations in Europe continue to be buffeted by subdued economic performance in core Europe but then periodic glimmers of optimism, as reflected in some recent business confidence surveys. One factor weighing down sentiment has been the strength of the euro, which appreciated into year-end and then sold off from $1.36 to $1.30, as shown in the middle left panel. The sudden reversal of the exchange rate, contemporaneous with the calendar and in the absence of any news, has all the hallmarks of a position adjustment after profit taking. The dollar–yen rate has been more subdued—in the 103 range—perhaps on concerns that the Japanese authorities would intervene if the dollar broke decisively toward 100 yen. The implied forward rate on the Chinese yuan calculated from the NDF  market, as shown in the bottom left panel, came in slightly after the start of the New Year and is suggesting slightly less probability of a revaluation. However, the inflows into China continue, as shown in the bottom right panel, which graphs the accumulation of reserves by China and Japan. While Japan’s reserves have plateaued for now, China and some other Asian countries have continued to accumulate reserves rapidly. Changing pace somewhat, if you turn to page 4, I’d like to spend a few minutes discussing recent developments in Japanese money markets. Let me skip to the end of the story and draw your attention to the bottom right panel, which graphs the Japanese government bill curve as of three dates. The green line is the curve as of March 19, 2001 which was the date the quantitative easing policy (or QEP) was announced. The blue line depicts the curve as of a year ago and the red line as of yesterday. One year ago, yields out to one year were at very low levels, but they were positive. In the last few months, conditions in money markets have deteriorated, and now essentially all bills out to 12 months are at or very near zero. Now let me go to the beginning of the story. The top left panel graphs the Bank of Japan’s (BOJ) current account balances and the overnight call money rate. After implementation of QEP in March 2001, the call money rate fell toward the zero bound. As the BOJ kept pumping yen into the market, the banks became flush with cash. At first they were willing to maintain this cash as a precaution against unexpected funding needs, given existing perceptions about the weakness of major banks. However, with so much money in the system, the need to trade funds decreased, and, as shown in the top right panel, the amount outstanding in the call money market collapsed from about ¥25 trillion to about ¥5 trillion. One might think that the demand for money market instruments would decrease as yields declined. In fact, demand has increased. First, the BOJ itself became a big buyer after QEP. Second, various market participants with investment mandates for sovereign risk continued to participate. Third, foreign banks doing dollar–yen swaps needed a risk-free claim to park the yen they swapped in. And perhaps more simply, the supply of yen swamped the available supply of low-risk investments. One result is shown in the middle left panel. The red line shows the trend of bid/cover ratios for three-month bill auctions. Even as the issue size has increased, the amount bid has been very high for several years except for a short period in mid-2003. In recent months the bid/cover has been more than 300 to 1. Meanwhile, as the condition of the banking system has improved, banks perceived less need to hold excess balances, so the BOJ has struggled to keep the current account balance in its target range. Early in the quantitative easing period, the BOJ used financing operations. But with banks stronger and needing less liquidity, the BOJ has shifted to greater use of outright operations. It’s a bit hard to see, but the blue line in the middle right panel depicts the BOJ’s holdings of treasury bills, which have actually declined in recent months. Why? The bottom left panel graphs the bid/cover for the BOJ’s outright bill operations since April 2004. Bids have been falling for several months, and some recent operations have been undersubscribed. In short, the Japanese money market has become very difficult for investors and, in fact, for the BOJ. Why do I go on at length about this? Well, for two reasons. First, Japan offers a genuine case study of monetary operations at the zero bound, which is interesting in and of itself. Second, we are directly affected by this deterioration of liquidity in the money market since the U.S. monetary authorities are a very large investor in Japanese government treasury bills. Like others, we have had difficulty investing all the yen in accordance with the current investment guidelines. Given these circumstances, unless conditions improve very soon, we essentially will have two choices: (1) to expand the range of allowable instruments for investment beyond sovereign obligations, or (2) to go out the JGB  curve. I plan to return to the Committee in March with a report on my plans to deal with this situation. Finally, let me say a word on fed funds volatility. The top panel on page 5 graphs the daily intraday standard deviations of the funds rate going back to 1987. The trend has been toward lower standard deviations over time. As I’ve mentioned at previous meetings, the Desk confronted higher funds rate volatility over the summer as the market bid up rates ahead of expected increases in the target. The bottom panel graphs intraday fed funds volatility for each two-week reserve maintenance period over the past year and notes those periods with an FOMC meeting. You will note the spike in August, which I discussed at the time. In the past few months we have observed that those dark blue bars—that is, the volatility in reserve maintenance periods with an FOMC meeting—have declined, which suggests that the market is adjusting to the Desk’s operations during such periods. Mr. Chairman, there were no foreign operations in this period. I did want to note, with Inauguration Day now behind us, that this Administration became the first one in the floating-rate era to go through its full four-year term without intervening in foreign exchange markets. I will need approval of domestic operations.",staff
2005-02-02,MR. GREENSPAN,"Any questions?  If not, would someone like to move approval?",M
2005-02-02,SPEAKER,Yes. So moved.,joint
2005-02-02,MR. GREENSPAN,"Without objection, I think we can go to a recess at this stage. The Presidents have a dinner to attend. I look forward to seeing you all tomorrow at 8:59 a.m.",M
2005-02-02,MR. GREENSPAN,"Good morning, everyone. We’ll continue our meeting with the chart show. Larry Slifman, Sandy Struckmeyer, and Karen Johnson will give the presentation.",M
2005-02-02,MR. SLIFMAN,"Thank you, Mr. Chairman. We’ll be referring to the package of materials entitled “Staff Presentation on the Economic Outlook.” As you know from reading the Greenbook, the only material change in our forecast since the December FOMC meeting concerns prospects for the near term. So, after briefly reviewing some of the recent high-frequency indicators, I’ll focus my discussion on the fundamental forces that we see driving economic activity over the next two years. With regard to the very near-term outlook, your first chart shows a variety of data series that have informed our judgments. The upper panels highlight two “production side” indicators. As illustrated in the upper left, private nonfarm payroll employment rose 181,000 per month, on average, in the fourth quarter, a noticeable pickup from the third-quarter pace. In addition, the Board’s index of industrial production continued to show above-trend gains in manufacturing sector activity. Most forward-looking indicators of production, such as the regional business surveys conducted by the Reserve Banks and the ISM  manufacturing report that was released yesterday, also point to continued near-term gains, although perhaps not as robust as late last year. The data on private final sales also look quite favorable. Real PCE excluding motor vehicles (the middle left panel) rose rapidly in the fourth quarter, and motor vehicles (the panel to the right) continue to sell at a brisk pace. After the Greenbook was published, we received information on orders and shipments for nondefense capital goods. As shown by the inset box in the lower left panel, shipments excluding aircraft rose 2.2 percent and orders advanced 1.8 percent in December. These figures were about in line with our expectations. All told, our estimate of fourth-quarter real GDP growth, shown on line 1 of the table, was fairly close to BEA’s —especially after BEA factors in an error in the Canadian trade statistics that apparently depressed estimated U.S. exports. Karen will have more to say about the Canadian numbers shortly. In any event, we see no reason to alter our first-quarter forecast as a result of the BEA’s fourth-quarter GDP estimate. Your next chart presents an overview of the forecast. As described in the first bullet of the upper panel, our forecast is predicated on a continuing withdrawal of monetary accommodation over the next two years, with the federal funds rate reaching 3 percent in the fourth quarter of this year and 3½ percent in the latter part of 2006—a path quite similar to that implied by futures quotes. Regarding fiscal policy, we’ve reduced our deficit projection for fiscal year 2005 more than $20 billion, primarily reflecting stronger incoming data on corporate tax receipts; the deficit in 2006 is unchanged from the previous Greenbook. But the change to our deficit estimate has virtually no effect on our preferred indicator of fiscal stimulus, FI, which is designed to capture the macroeconomic effects of exogenous policy changes. FI is expected to be neutral in 2005 and to provide only a small positive impetus to GDP growth in 2006. Although oil prices have moved higher in recent weeks, the futures market continues to see the likely path as pointing downward from here forward, and, as usual, we have conditioned the forecast on their views. Karen and I will both have more to say about oil prices. And, as Karen will discuss, the staff expects the foreign exchange value of the dollar to drift down. As for asset values, stock prices are assumed to rise 6½ percent this year and next, which would roughly maintain risk- adjusted parity with the yield on long-term bonds, while the rate of increase in house prices is expected to slow considerably from last year’s torrid pace. As shown in the bottom panel, real GDP is projected to rise at a 3¾ percent rate, on average, over the projection period, about half a percentage point faster than our estimate of potential GDP growth. Spending on private consumption and fixed investment (line 2) is the main contributor to GDP growth, although some of the growth in that demand is expected to be satisfied by foreign producers (line 3). Domestic production is also boosted by export demand and government purchases (lines 4 and 5), while inventory investment is roughly neutral. Exhibit 3 examines the forces that we think will be working to produce two more years of above-potential growth. Monetary policy continues to be an important factor. As shown in the middle left panel, even with the assumed policy tightening over the next two years, the real funds rate is projected to remain below its long-run average and on the stimulative side of the short-run measures of r* shown in the Bluebook. Returning to the bullets, other financial market conditions also are expected to be supportive. Nominal long-term rates (not plotted) have been well-anchored and are projected to be little changed over the projection period, despite the assumed rise in short-term rates. Moreover, corporate balance sheets are quite strong: Cash is abundant, and the combination of aggressive deleveraging, debt restructuring, and low interest rates has brought interest expenses relative to cash flow (the middle right panel) down to very low levels. Reflecting these developments, defaults, delinquencies, and risk spreads are quite low, and, as shown in the lower left panel, banks continue to ease lending standards. As I noted earlier, after the rapid run-up last year, we expect oil prices to drift down over the next two years, which should be a small plus for domestic spending power and GDP growth. Turning to the final bullet in the upper panel, we estimate that the higher oil prices in 2004 reduced GDP growth by three-fourths of a percentage point last year. In our forecast, the negative effects wane to a quarter of a percentage point in 2005 as oil prices begin to recede; the projected decline in oil prices then boosts GDP growth a couple of tenths in 2006. Exhibit 4 focuses on the household sector. Consumption outlays (the blue bars in the upper left panel) grow at a 3¾ percent rate this year and next, a shade less than in 2004. We expect income growth (the red bars) to step up as the labor market strengthens. Moreover, household financial positions—as summarized by the financial obligations ratio, to the right—seem solid. However, the downdrift in household net worth relative to income that we project in the baseline forecast, and depicted by the black line in the middle left panel, imparts a slight drag on spending. In addition, the strength of consumer spending last year pushed the saving rate (not shown) to an unusually low level, and, as a consequence, consumer spending also is expected to be restrained a bit during the forecast period by a desire on the part of households to rebuild savings. One risk to the forecast that we discussed in the Greenbook is the possibility of a real estate slump. In the Greenbook alternative simulation, depicted by the red line in the middle right panel, we assumed that house prices fall a little more than 10 percent cumulatively over the next two years, leaving the level 20 percent below the baseline. Such an outcome, especially if accompanied by a drop in consumer confidence, would restrain PCE and GDP growth appreciably over the next two years. But, even with the implied loss of household wealth, the ratio of net worth to income that comes out of the alternative simulation (the red line in the middle left panel) is still quite high by historical standards. Accordingly, we don’t see this scenario as causing a serious debilitation of household sector financial health, on the whole. In the housing market, the lower panels, annual single-family starts are projected to remain close to the 1.6 million unit mark over the next two years. Favorable mortgage rates are expected to provide ongoing support to housing activity in our forecast. And, as with consumer spending, solid income gains also support housing demand. Your next chart looks at business investment. Outlays for high-tech equipment, the red bars in the upper left, are the major source of growth in this sector, reflecting an ongoing need by firms to replace and upgrade their equipment and software. Spending on non-high-tech equipment, the blue bars, grew briskly in 2004, spurred, in part, we think by partial expensing. After the anticipated “pothole” in the first quarter of this year, we expect that real outlays for non-high-tech equipment will increase at around a 4½ percent rate—roughly in line with their longer-run average. Demand is supported, in part, by a shrinking margin of unused capacity over the next two years, as depicted in the panel to the right. However, as shown in the middle left panel, the rate of return on capital is projected to ebb over the next two years, which tempers our forecast slightly. We interpret the results of the special questions on capital spending asked by the staffs at the Reserve Banks—summarized in the table to the right—as being broadly consistent with our view that this will be a pretty good year, on balance, for business equipment investment, although probably not quite as brisk as in 2004. The usual accelerator effects were the primary reason given by survey respondents for boosting capital spending this year; additionally, a sizable fraction of respondents pointed to replacement needs as an important consideration. The remainder of the chart highlights two of the risks to the forecast for equipment spending. An upside risk that we highlighted in the Greenbook is the possibility that we have been wrong about the effects of partial expensing. If so, the alternative simulation of FRB/US, shown by the blue bars in the lower left panel, suggests that equipment and software spending could increase considerably faster than in the baseline. One downside risk to the forecast for high-tech equipment, which Governor Ferguson noted in a speech recently, is the possibility that the pace of technical advancement in computers is slowing. As you know, the speed at which quality- adjusted computer prices fall is a rough indicator of the pace of technological progress for that equipment. The constant-quality price index for desktop computers that we use for constructing industrial production is shown in the lower right panel. The price declines are decomposed into declines that we attribute to improvements in production processes—for example, Michael Dell figuring out better ways to assemble boxes—and the price declines that we attribute to technological improvements—for instance, Intel designing better chips to go inside the boxes. As you can see from the red portion of the bars, this decomposition suggests that the rate of technological improvement for computers has slowed appreciably. A further slowing in the pace of innovation going forward would imply less spending for upgrades than is implicit in our forecast. However, recent announcements by Intel and AMD regarding introduction schedules for their next-generation chips give a hint that a return to a faster pace of technological improvements may be in train. If this speed-up in planned improvements to semiconductors is, in fact, realized, that should translate into faster technological progress for computers. Sandy will now continue our presentation.",staff
2005-02-02,MR. STRUCKMEYER,"Your next chart presents the outlook for the labor market. With real GDP projected to grow at slightly above its potential pace, we expect nonfarm payrolls (the upper left panel) to expand at an average pace of about 200,000 per month through 2006. As you can see, that pace is a bit above the rate of job creation last year. Businesses reportedly have become convinced that the economic expansion is on a solid footing, and we are anticipating that they will be hiring more aggressively. That said, we do not think firms are abandoning their focus on boosting efficiency. As shown in the upper right panel, we expect structural labor productivity to continue to rise at a brisk pace over the forecast period, albeit below that experienced from 2001 to 2003. Given our investment forecast, we expect a rising contribution from capital deepening (the blue shaded area), while the rate of multifactor productivity  growth slows from the extraordinary pace witnessed in recent years. We think a good part of the 2001-2003 acceleration reflected one time changes in the level of productivity, as firms implemented managerial and organizational changes, rather than a speed-up in the underlying rate of technological progress. Such organizational changes are expected to diminish in importance as the upswing proceeds, and we are forecasting structural MFP growth to move back towards its longer-run average. With this slightly slower rate of structural productivity growth and the pickup in hiring, we are projecting the level of actual labor productivity (the black line in the middle left panel) to move back into line with the level of structural productivity by the end of next year. We also are anticipating that the more favorable labor market conditions will begin to attract workers back into the labor force. As shown in the middle right panel, the labor force participation rate is projected to move up over the projection period after the large declines of recent years. However, the progress here is only modest, and the participation rate remains below its estimated trend. The combination of above-trend economic growth and rising participation rates is sufficient in our forecast to keep the unemployment rate (shown in the lower left panel) on a gradual downtrend, reaching 5 percent—our estimate of the NAIRU—by the end of next year. The ratio of employment to population—a measure of slack that combines movements in both the unemployment rate and the labor force participation rate—increases slightly over the projection period. Your next chart presents the outlook for the growth in labor compensation. As indicated in the data insert in the top panel, the fourth-quarter readings on both the ECI  and P&C compensation per hour  came in a good bit below our expectations. Although we have heard anecdotes of shortages of some types of skilled workers, sufficient slack evidently remains in the labor market to put downward pressure on the growth of compensation in the aggregate. Given these new data, we would be inclined to shave a couple of tenths off of our compensation forecast. We expect the growth in compensation to remain at about its 2004 rate (the lines in the upper panel). One-year-ahead inflation expectations (shown in the middle left) have drifted upward slightly in response to the increases in energy prices, and we expect this to be reflected in wage demands this year. In addition, the lagged effects of the acceleration in structural labor productivity also should result in somewhat larger gains in compensation. Moreover, the depressing effect of labor market slack (shown in the middle right panel) is projected to diminish over the projection period. These forces are manifest in our projection of a somewhat faster rate of increase in the growth of wages (shown on the lower left), but this is offset by slower growth in benefits. This slowdown reflects smaller increases in employer contributions to retirement and saving plans, after these payments surged in 2004. Your next chart reviews recent price developments. As shown in the upper left panel, the 12-month change in consumer prices moved up sharply last year, mainly in response to higher energy prices (shown in the upper right panel). As you know, higher world crude oil prices and supply-driven fluctuations in domestic refining margins were responsible for the swings. Increases in food prices (the middle left panel) were relatively stable. As indicated in the middle right panel, the rate of increase in core consumer prices moved up to about a 1½ percent rate in early 2004 and held at about that pace for the remainder of the year. As indicated in the table on the lower left, all of this acceleration occurred in goods prices, where, in addition to a large, idiosyncratic swing in used cars, price increases were broad- based. In our view, the underlying acceleration in goods prices reflects the run-up in intermediate materials prices shown on the right, the pass-through to the retail level of higher energy costs, and the weaker foreign exchange value of the dollar. Your next chart presents the outlook for inflation. The rate of increase in total PCE prices (shown on the upper left) is expected to slow to a 1¼ percent pace in 2005 and 2006. Energy prices (shown on the upper right) are expected to retrace part of last year’s run-up over the projection period, while the rate of increase in food prices (not shown) slows by about ¾ percentage point. Core inflation (shown on the middle left) is projected to remain at a 1½ percent rate. This projected stability of core inflation reflects several offsetting factors. The slower pace of structural labor productivity is expected to result in somewhat faster growth in trend unit labor costs, and the declining margin of slack in labor and product markets is projected to exert less downward pressure on wages and prices. Offsetting these influences, the rate of increase in core, nonfuel import prices (shown on the middle right) is forecasted to fall back to zero in 2006, and the indirect effects of lower energy prices are expected to put downward pressure on retail prices. The bottom two panels explore risks to the inflation forecast. In the higher- inflation scenario, we interpret recent anecdotal reports of worker shortages as evidence that the NAIRU is 5½ percent rather than 5 percent. In addition, we assume that last year’s slowdown in the growth of employers’ contributions for health insurance to 7 percent was transitory and that these payment rise 10 percent in 2005 and 2006. We also assume greater pricing power on the part of firms, which are able to pass these cost shocks through to consumer prices—holding the price markup (shown on the lower left) at its present level. Under these circumstances, core PCE inflation (shown as the red line in the lower right panel) rises to almost 2½ percent in 2006. In the lower-inflation alternative, we assume that the rate of increase in structural multifactor productivity growth does not slow as in the baseline forecast but holds at a 2¼ percent rate over the 2004-2006 period. In implementing this simulation, we have assumed that financial markets have already incorporated this expectation, and thus there is no additional effect on asset prices. With the faster rate of structural MFP growth boosting aggregate supply, core PCE inflation slows to 1 percent in 2006. Karen Johnson will now continue our presentation.",staff
2005-02-02,MS. JOHNSON,"Your first international chart reviews financial developments for the major foreign industrial countries. After appreciating early last year, the nominal exchange value of the dollar in terms of the other major foreign currencies (the black line in the top left box) changed little through September. It subsequently declined broadly, as can be seen by the red yen–dollar and blue euro– dollar lines. So far this year, the nominal dollar index has rebounded about 1½ percent from its December low. It is now approximately 27 percent below its peak in early 2002. As can be seen in the panel to the right, euro and yen three-month market interest rates have remained about flat for over a year as dollar rates have moved up with your moves to raise the federal funds rate. The ECB has left its official repo rate at 2 percent since mid-2003, and the Bank of Japan is continuing its policy of quantitative easing. The middle panels show market expectations of policy moves by those two central banks on three dates: currently and at the time of the two most recent chart shows. Three-month euro futures rates, on the left, have shifted down since June, as expected tightening has been pushed off into the future. Markets now appear to expect some upward move by the ECB around midyear. Similarly, as seen to the right, markets have pushed off expected increases in rates on the part of the Bank of Japan into 2006. In all three countries, 10-year sovereign interest rates, shown in the bottom left panel, moved up during the first half of 2004 and then retraced. Whereas U.S. rates (the black line) moved up over the fourth quarter of last year, German rates (the blue line) continued to drop and are now below their levels at the start of 2004. Japanese ten-year rates (in red) have returned to about the level of one year ago. The retracing in long-term rates and the shift down in policy expectations reflect the slowing of economic growth abroad in the second half of last year, to which I shall return in a moment. Nevertheless, broad stock price indexes, shown to the right, resumed their upward trend over the second half of last year, after giving back some earlier gains. Although the Japanese Topix has not regained its mid-2004 level, both it and the DJ Euro Stoxx are noticeably above their levels at the start of last year. The table in the top half of your next chart provides an overview of our forecast for real GDP growth abroad. After expanding at an average annual rate of more than 4 percent during the first half of 2004, total foreign real output (line 1 in the table) decelerated to just under 3 percent during the second half. Although both the timing of and the factors behind the “soft patches” experienced abroad differ across countries, we expect that going forward the pace of activity will generally firm across the industrial countries (lines 2 through 6) and will converge to steady growth across the emerging economies (lines 7 through 11) as the restraining forces dissipate. By the second half of this year, we project that average foreign growth will return to an annual rate of about 3¼ percent and remain near that rate over the remainder of the forecast period. Among the industrial countries, the “soft patch” was far more evident in Japan (line 3) and the euro area (line 4) than it was in the United Kingdom (line 5) or Canada (line 6). The latter two countries have sustained moderate to strong growth in real GDP with vigorous domestic demand over the past several years. In contrast, Japan is struggling to sustain an expansion that had been promising to end over 10 years of subpar economic activity. The euro area has been expanding at subdued rates, with high unemployment. As shown in the bottom panels, business and consumer confidence in both Japan and the euro area improved sharply from previous lows in 2003 through the first half of 2004. Little or no further improvement was recorded during the second half of last year, however, raising concerns about the robustness of internal demand in these economies during this year and next. As can be seen in the right panel, through mid-2004 Japanese exports expanded strongly, supporting output growth, and, to a lesser extent, euro-area exports did the same. A pickup in the pace of global expansion should halt the downturn in Japanese exports and contribute to renewed export growth in these economies, but at rates below those experienced in late 2003 and early 2004. Your next chart reviews developments in the emerging-market economies. As can be seen in the upper left panel, one feature of markets over the most recent months is the very low level to which spreads on emerging-market securities have fallen. Such favorable financing terms have not been observed since before the financial crises of the late 1990s. Nonetheless, issuance of new debt during the last half of 2004 has been subdued in Asia and in Latin America. As seen to the right, stock prices in Korea, Singapore, and Brazil trended up over most of 2004, although Brazil’s Bovespa has recently retraced some of those gains. The middle panels report on production (on the left) and exports (to the right) in China, Korea, and Thailand. Chinese industrial production expanded strongly during 2004 and remained brisk in the most recent months. In contrast, production has moved sideways in Thailand and Korea for much of the past four quarters, following a significant move up in the preceding half year. Chinese exports rose sharply on balance during 2004. After roughly leveling off from June through September, Chinese exports spurted in October and November; the December level was more than 10 percent above that for September. The sustained trend growth in Chinese exports has led to China becoming a more important trading partner for a range of countries. For example, over the past several years, China has moved up to replace the United States as the number one trading partner of Japan, Korea, and Singapore. The bottom panels indicate that production expanded strongly in 2004 in both Brazil and Mexico, although a slowing in the second half of the year is clearly evident for Brazil. Despite sharp fluctuations, on balance, exports provided positive stimulus to Brazilian output over the year, as they also did in Mexico, although to a lesser extent. The nominal U.S. trade deficit, reported in the upper left panel of your next chart, has moved further into deficit since the last chart show. Compared with the third quarter, the most recent data for October and November report a substantial increase in imports (line 2) and essentially no change in exports (line 8). About half of the increase in nominal imports reflects the higher oil import bill (line 6), which in turn was boosted by the elevated level of oil prices. The remaining half of the increase is accounted for largely by consumer goods (line 3), with several other categories showing small positive changes. The weakness in exports, which surprised us and the markets, is not explained by a large drop in any particular category and would still be apparent even after accounting for errors made by Canadian statistical officials in measuring their imports for November—a correction to the data that we cannot yet make. The breakdown of U.S. exports by destination is illustrated by the panels to the right. During 2004, exports to Canada and western Europe expanded strongly; the most recent observation for Canada likely will be revised up about $4 billion when corrected data are released. Export weakness is evident in the downturn in exports to the group of countries labeled “Other Asia,” i.e., our Asian trading partners other than Japan, China, and Hong Kong. U.S. exports to those three economies were flat for most of last year. Oil prices, shown in the lower left, reached remarkable highs in 2004 and have been very volatile since midyear. After the December meeting, I must admit, those prices moved back up, not down. We still see the strength in overall global economic activity, and thus demand for crude oil, as a significant factor in supporting oil prices at current levels. Moreover, some supply developments, including OPEC decisions and violence in Iraq, continue to influence prices. In line with the futures markets, we project that prices for global crude oil will decline through next year, although we expect that the spread between the spot price for WTI  and the U.S. import price will narrow somewhat. Shown in the panel on the right are our outlooks for core import prices (the black line) and the factors underlying their change (the bars). Core import prices were pushed up during 2004 by rising global commodity prices, as reflected in the blue portions of the bars. The red portions of the bars show the contribution of foreign prices expressed in dollars. That contribution fluctuates with the exchange value of the dollar, which declined at times, particularly in the fourth quarter of last year, but which also rose at times, such as in the second quarter of last year. Starting next quarter, we see the upward pressure from both of these factors as diminishing greatly, with the result that core import inflation is projected to be low over most of this year and during next year. Our outlook for the contribution of global commodity prices reflects the predictions in current market futures curves. The low and steady contribution of foreign prices when expressed in dollars results from our projections of stable and low inflation abroad on average and of little change going forward in the exchange value of the dollar. In addition, expiration of the multifiber agreement  should lower import prices. The consequences of our outlooks for foreign growth and prices for U.S. real exports and imports are presented on your final international chart. Real export growth (line 1 in the top left panel) is boosted this year by some bounceback from the weak fourth quarter last year. The acceleration in core exports (line 4) reflects our assumption that some of the recent export weakness will be “paid back” in early 2005 as well as the continuing stimulative effects of recent dollar depreciation. The somewhat stronger export growth forecast for both this year and next also depends upon the projected return to steady, moderate growth abroad. In contrast, real imports of goods and services (top right panel) are projected to decelerate this year; growth of imported core goods (line 4) should slow nearly 2 percentage points, in part the result of the expiration of the partial-expensing tax provision, which had created an incentive to import capital goods in 2004. Past dollar depreciation lessens growth of core import volume as well. Real import growth should rebound somewhat in 2006, as growth of core imports responds to the subdued pace of projected inflation in import prices. The bars in the middle left panel translate export and import growth into contributions to U.S. GDP growth. The positive contribution from exports is expected to outweigh temporarily the negative one from imports during the first half of this year. Thereafter, on balance, imports will subtract about one-third percentage point more from GDP growth than is contributed by export growth. The U.S. nominal trade and current account balances are shown to the right. Despite the sizable decline in the dollar since its peak in early 2002, the U.S. nominal trade deficit widened by slightly more than $300 billion from the first quarter of 2002 through the fourth quarter of last year, as deficit-enhancing factors more than offset the beneficial effects of dollar depreciation. To be sure, had the dollar not depreciated, the deficit would have widened even more. In the Greenbook baseline forecast, we project very limited further dollar depreciation and an additional $30 billion increase in the trade deficit through the fourth quarter of 2006. Unfortunately, I have to report that, by the standard of a reduced trade deficit, U.S. external adjustment will not even have started by the end of the forecast period if the Greenbook forecast is realized. In 2005 and 2006 the projected current account deficit widens significantly more than does the trade balance as net investment income deteriorates. We asked our global econometric model what average rate of dollar depreciation would be required during the Greenbook projection period for the trade deficit in the fourth quarter of 2006 to be about unchanged from that estimated for the fourth quarter of last year. The dollar path needed to produce that outcome, shown in red in the bottom left panel, is one that declines at an average annual rate of 10 percent. The panel to the right reports consequences of the weaker dollar path for the trade balance and the current account balance. By construction, in the alternative of a weaker dollar, the change in the trade balance over the forecast period is about zero. However, the current account balance nonetheless continues to deteriorate. In fact, the weaker dollar improves the current account deficit by less than the improvement in the trade balance, primarily because higher interest rates, which the model generates as it uses a Taylor rule to guide monetary policy, result in even greater declines in net investment income. This simulation suggests that even were the dollar to depreciate quite sharply, it is likely that over the forecast period the trade deficit would remain near its current size and the current account deficit would widen further. Sandy will now conclude our presentation.",staff
2005-02-02,MR. STRUCKMEYER,"The final chart presents your economic projections for 2005 and 2006. As shown in the upper panel, the central tendency of your forecasts for real GDP this year is 3¾ to 4 percent. The unemployment rate is projected to be 5¼ percent, while the central tendency for core PCE inflation is 1½ to 1¾ percent. As indicated in the lower panel, you expect real GDP growth to slow to 3½ percent in 2006 and the unemployment rate to fall to between 5 percent and 5¼ percent. For core inflation in 2006, the central tendency remains at 1½ to 1¾ percent. Mr. Chairman, that completes our presentation.",staff
2005-02-02,MR. GREENSPAN,"Do you have a forecast of current account balances for the world, including the discrepancies?",M
2005-02-02,MS. JOHNSON,I do. Do you want me to give you some figures?,staff
2005-02-02,MR. GREENSPAN,I’d actually like to see the whole table. Does it have data for individual countries?,M
2005-02-02,MS. JOHNSON,We have several tables that cover all of the countries we forecast and then we have the global—,staff
2005-02-02,MR. GREENSPAN,Could somebody just bring it around to me rather than have you read it? Other questions for our colleagues? President Minehan.,M
2005-02-02,MS. MINEHAN,"I was a little surprised at the forecast of no decline in the value of the dollar. Your alternative simulation seems as though it’s relatively close to what we’ve experienced since 2002. You had mentioned that the dollar is down 27 percent since the peak in 2002. That’s roughly three years, and that’s not terribly different from 10 percent at an annual pace, which is what I understood you to say in talking about the simulation. Maybe I understood you wrong.",M
